transaction_id,date,region,product_category,customer_segment,units_sold,revenue,cost,discount_applied
TXN00284,6/3/2023,Middle East,Clothing,SMB,10,304.83,178.59,0
TXN00455,6/3/2023,North America,Furniture,Enterprise,25,56722.13,37714.44,0
TXN00113,6/8/2023,Latin America,Clothing,Government,5,614.5,345.32,0
TXN00290,6/10/2023,North America,Technology,Government,15,13009.66,6803.68,10
TXN00128,6/11/2023,Latin America,Electronics,Consumer,50,64586.28,42633.28,0
TXN00032,6/12/2023,Middle East,Electronics,Government,10,7117.93,3542.02,10
TXN00181,6/12/2023,North America,Electronics,Government,3,5559.4,3012.99,20
TXN00367,6/13/2023,Asia Pacific,Office Supplies,Enterprise,5,578.68,311.06,0
TXN00458,6/15/2023,North America,Furniture,SMB,10,9060.39,6043.44,0
TXN00394,6/15/2023,Asia Pacific,Electronics,Government,10,13861.09,6772.4,0
TXN00235,6/16/2023,North America,Electronics,Consumer,100,36691.26,15822.48,10
TXN00239,6/21/2023,Europe,Electronics,Consumer,10,8047.67,3364.27,5
TXN00036,6/21/2023,Latin America,Clothing,SMB,25,2138.1,865.15,15
TXN00328,6/22/2023,North America,Office Supplies,Government,15,1333.27,882.39,0
TXN00480,6/24/2023,Europe,Electronics,Enterprise,5,5516.59,3647.34,5
TXN00213,6/24/2023,Europe,Electronics,Consumer,50,34329.29,13912.11,0
TXN00040,6/25/2023,Middle East,Furniture,Consumer,3,1871.95,1092.2,0
TXN00166,6/25/2023,Europe,Furniture,SMB,50,21151.04,14136.17,20
TXN00077,6/26/2023,Asia Pacific,Clothing,SMB,3,526.46,343.59,10
TXN00211,6/27/2023,Latin America,Technology,Consumer,1,1131.41,691.75,0
TXN00245,6/29/2023,Europe,Technology,SMB,5,16694.15,9166.57,20
TXN00067,7/1/2023,Asia Pacific,Furniture,SMB,2,2288.97,1089.79,0
TXN00158,7/6/2023,Europe,Clothing,Enterprise,2,295.71,205.43,15
TXN00287,7/7/2023,Latin America,Office Supplies,Enterprise,5,287.32,174.87,10
TXN00353,7/7/2023,Latin America,Furniture,Government,15,36466.3,24614.41,0
TXN00466,7/7/2023,Europe,Technology,SMB,5,16967.75,7112.91,10
TXN00377,7/7/2023,North America,Electronics,Government,10,4700.16,2442.81,10
TXN00019,7/9/2023,North America,Electronics,Enterprise,5,1505.07,761.22,0
TXN00043,7/9/2023,Middle East,Furniture,SMB,1,262.91,170.04,0
TXN00439,7/11/2023,North America,Electronics,Consumer,3,2576.02,1329.67,15
TXN00094,7/11/2023,North America,Clothing,Government,1,91.36,42.34,0
TXN00375,7/13/2023,North America,Office Supplies,Government,5,1125.21,784.46,0
TXN00487,7/13/2023,Latin America,Electronics,Government,50,20057.39,11924.03,0
TXN00088,7/14/2023,Asia Pacific,Clothing,Government,2,137.3,56.6,0
TXN00389,7/17/2023,Latin America,Office Supplies,Enterprise,1,27.05,15.4,15
TXN00304,7/17/2023,Europe,Electronics,SMB,2,3430.58,2247,5
TXN00361,7/20/2023,North America,Clothing,Enterprise,5,329.61,134.9,20
TXN00489,7/25/2023,Asia Pacific,Technology,Consumer,3,1267.09,639.86,15
TXN00184,7/25/2023,North America,Technology,Government,3,3533.95,1934.76,0
TXN00083,7/26/2023,Middle East,Clothing,SMB,10,619.45,273.12,0
TXN00325,7/26/2023,Europe,Office Supplies,Enterprise,20,301.07,135.7,0
TXN00283,7/30/2023,Middle East,Furniture,Government,3,5628.95,3569.43,0
TXN00473,8/1/2023,Middle East,Electronics,SMB,5,5124.43,2347.8,15
TXN00247,8/4/2023,Europe,Office Supplies,Government,2,463.57,230.28,0
TXN00010,8/5/2023,Latin America,Technology,Government,2,3079.83,1384.63,0
TXN00023,8/13/2023,North America,Office Supplies,SMB,1,123.6,85.99,0
TXN00403,8/13/2023,North America,Clothing,SMB,2,329.84,202.21,15
TXN00404,8/14/2023,Latin America,Clothing,Consumer,1,108.96,62.62,20
TXN00176,8/15/2023,Latin America,Clothing,Government,1,38.87,19.32,0
TXN00071,8/15/2023,Asia Pacific,Technology,Enterprise,5,14995.32,9128.02,0
TXN00096,8/16/2023,Europe,Electronics,Government,1,796.47,405.34,5
TXN00107,8/17/2023,Latin America,Office Supplies,Enterprise,2,164.34,96.98,15
TXN00274,8/21/2023,Europe,Clothing,Enterprise,2,441.9,275.95,5
TXN00048,8/25/2023,Middle East,Electronics,Government,5,7379.71,3916.43,10
TXN00475,8/27/2023,Middle East,Clothing,Government,10,751.8,327.23,0
TXN00481,8/27/2023,Middle East,Electronics,Enterprise,1,957.55,424.05,5
TXN00076,8/30/2023,Asia Pacific,Clothing,Enterprise,1,108.09,69.52,20
TXN00259,8/30/2023,Middle East,Clothing,Enterprise,15,3261.31,1781.84,0
TXN00099,8/31/2023,Middle East,Technology,Government,1,1923.89,1329.1,15
TXN00200,9/3/2023,Middle East,Technology,Consumer,5,10026.06,6215.49,0
TXN00316,9/4/2023,Asia Pacific,Clothing,Enterprise,1,43.01,27.82,0
TXN00298,9/7/2023,Asia Pacific,Electronics,Enterprise,5,5508.18,2777.24,15
TXN00210,9/8/2023,Asia Pacific,Furniture,Enterprise,5,13167.37,7063.27,5
TXN00051,9/11/2023,Middle East,Furniture,SMB,25,53710.76,25688.14,0
TXN00031,9/11/2023,Asia Pacific,Electronics,Consumer,50,28454.86,13988.67,0
TXN00038,9/13/2023,Asia Pacific,Furniture,Enterprise,3,7703.07,5230.42,0
TXN00134,9/13/2023,North America,Furniture,Enterprise,2,5713.92,3594.52,0
TXN00294,9/18/2023,Latin America,Furniture,Government,1,2551.14,1716.45,10
TXN00338,9/19/2023,North America,Furniture,Enterprise,1,1901.3,1278.08,0
TXN00395,9/20/2023,Latin America,Furniture,Consumer,2,2685.88,1392.73,10
TXN00419,9/22/2023,Asia Pacific,Furniture,Consumer,3,3295.6,1794.34,5
TXN00495,9/26/2023,Asia Pacific,Office Supplies,Enterprise,2,152.5,80.44,15
TXN00009,9/27/2023,Latin America,Electronics,SMB,2,1692.67,814.86,10
TXN00322,9/29/2023,Europe,Furniture,Consumer,10,2788.36,1261.63,15
TXN00006,10/1/2023,Latin America,Electronics,Government,5,4907.29,1986.42,0
TXN00463,10/2/2023,Latin America,Office Supplies,Consumer,5,240.27,140.57,10
TXN00362,10/5/2023,Latin America,Clothing,Enterprise,3,411.89,185.56,0
TXN00218,10/6/2023,Asia Pacific,Clothing,Consumer,3,186.33,110.81,0
TXN00327,10/8/2023,Europe,Electronics,Consumer,50,63692.54,38839.37,10
TXN00115,10/10/2023,Middle East,Technology,Consumer,50,61240.77,28673.25,0
TXN00126,10/13/2023,Asia Pacific,Furniture,Enterprise,15,22243.15,12396.49,0
TXN00273,10/15/2023,Asia Pacific,Electronics,Government,100,150204.8,74362.9,15
TXN00271,10/15/2023,Latin America,Furniture,Consumer,1,354.99,205.74,0
TXN00249,10/16/2023,Latin America,Electronics,SMB,20,30675.17,15192.17,20
TXN00012,10/16/2023,Asia Pacific,Clothing,SMB,3,142.14,93.66,5
TXN00168,10/16/2023,Asia Pacific,Technology,Enterprise,2,2199.24,1100.07,0
TXN00144,10/23/2023,North America,Electronics,Enterprise,10,14666.58,7889.22,0
TXN00228,10/25/2023,Latin America,Technology,Government,1,3503.53,1793.99,5
TXN00496,10/27/2023,Asia Pacific,Electronics,SMB,10,8371.66,5412.69,5
TXN00101,10/27/2023,Middle East,Furniture,SMB,10,6229.05,3867.46,5
TXN00345,10/28/2023,Europe,Technology,SMB,10,31557.33,12642.85,10
TXN00293,10/29/2023,Europe,Office Supplies,Enterprise,15,1020.58,653.98,0
TXN00470,10/30/2023,Latin America,Office Supplies,Consumer,15,172.7,116.98,0
TXN00333,10/31/2023,Latin America,Clothing,Consumer,3,351.59,196.04,0
TXN00301,11/1/2023,Asia Pacific,Office Supplies,Enterprise,25,7267.41,3305.98,0
TXN00084,11/2/2023,Europe,Furniture,SMB,5,1910.12,1180.3,5
TXN00195,11/5/2023,Asia Pacific,Technology,SMB,1,2476.57,1237.53,5
TXN00142,11/6/2023,Europe,Clothing,Government,2,80.91,38.73,5
TXN00324,11/9/2023,Middle East,Clothing,SMB,15,2483.12,1166.64,10
TXN00129,11/9/2023,Asia Pacific,Office Supplies,Consumer,1,29.78,19.06,0
TXN00206,11/9/2023,Latin America,Technology,Enterprise,5,9473.82,5305.85,10
TXN00288,11/10/2023,Middle East,Technology,Government,5,9158.44,3999.61,10
TXN00462,11/10/2023,North America,Office Supplies,Government,1,267.1,174.03,10
TXN00104,11/15/2023,Middle East,Electronics,Enterprise,1,1222.67,711.39,10
TXN00186,11/16/2023,Europe,Office Supplies,Enterprise,15,4297.57,2889.45,10
TXN00418,11/18/2023,Asia Pacific,Clothing,Consumer,1,85.11,50.96,0
TXN00373,11/19/2023,Asia Pacific,Clothing,Enterprise,50,3944.49,2446.41,10
TXN00114,11/20/2023,Latin America,Clothing,SMB,1,119.77,68.23,10
TXN00217,11/20/2023,Europe,Clothing,SMB,2,260.28,167.19,10
TXN00223,11/22/2023,Europe,Technology,Consumer,5,12602.31,6669.88,15
TXN00002,11/27/2023,Asia Pacific,Clothing,Government,1,148.91,62.08,10
TXN00197,11/28/2023,North America,Clothing,Consumer,3,392.34,230.94,10
TXN00488,11/29/2023,Middle East,Technology,Government,25,14548.15,7767.49,0
TXN00225,11/30/2023,Middle East,Technology,Government,5,14764.82,10023.57,5
TXN00286,12/2/2023,Europe,Technology,Government,1,2259.34,1309.99,5
TXN00438,12/6/2023,Latin America,Clothing,Consumer,1,120.59,72.51,0
TXN00060,12/8/2023,Middle East,Office Supplies,Consumer,3,36.18,24.3,0
TXN00363,12/9/2023,Asia Pacific,Office Supplies,SMB,15,2604.83,1180.38,5
TXN00342,12/10/2023,Middle East,Electronics,Enterprise,15,20049.28,13311.9,5
TXN00159,12/10/2023,Asia Pacific,Clothing,SMB,2,357.35,167.78,15
TXN00116,12/12/2023,Asia Pacific,Technology,SMB,5,9995.4,5831.68,0
TXN00242,12/14/2023,Asia Pacific,Clothing,Government,25,3237.31,2112.7,5
TXN00069,12/14/2023,North America,Technology,Enterprise,1,2589.9,1374.98,10
TXN00045,12/16/2023,Asia Pacific,Technology,Government,50,118580.77,58921.24,10
TXN00350,12/16/2023,Europe,Electronics,Enterprise,3,2625.99,1433.27,5
TXN00303,12/20/2023,Latin America,Furniture,Consumer,1,1459.49,821.78,0
TXN00423,12/20/2023,Middle East,Electronics,Enterprise,3,5107.09,2905.92,0
TXN00351,12/23/2023,Middle East,Electronics,Consumer,2,2295.85,1367.61,10
TXN00136,12/25/2023,North America,Office Supplies,SMB,100,13185.74,5953.41,0
TXN00354,12/26/2023,Asia Pacific,Furniture,Consumer,5,7276.67,4413.46,0
TXN00339,12/28/2023,North America,Electronics,Enterprise,3,4541.74,2456.73,0
TXN00440,1/4/2024,Asia Pacific,Office Supplies,Government,1,226.15,132.25,10
TXN00497,1/4/2024,North America,Office Supplies,SMB,10,633.1,353.66,10
TXN00059,1/4/2024,Middle East,Electronics,Consumer,1,1373.32,757.49,10
TXN00120,1/6/2024,Middle East,Electronics,Enterprise,2,3731.13,1497.64,0
TXN00072,1/8/2024,Asia Pacific,Electronics,Consumer,2,2871.07,1915.23,0
TXN00021,1/9/2024,North America,Technology,Enterprise,1,1478.36,700.84,5
TXN00212,1/10/2024,Europe,Clothing,Enterprise,10,667.81,314.12,20
TXN00057,1/11/2024,Latin America,Electronics,Enterprise,50,68427.26,36063.99,5
TXN00318,1/12/2024,Asia Pacific,Furniture,Consumer,10,7310.12,3481.79,10
TXN00349,1/12/2024,Latin America,Office Supplies,Government,5,1055.51,590.03,10
TXN00138,1/13/2024,Latin America,Clothing,SMB,1,69.55,33.38,10
TXN00437,1/13/2024,Middle East,Electronics,Enterprise,1,401.2,177.59,0
TXN00498,1/13/2024,Middle East,Office Supplies,Government,15,461.93,292.42,10
TXN00484,1/15/2024,North America,Technology,Enterprise,5,19181.38,12399.16,10
TXN00380,1/15/2024,Latin America,Furniture,SMB,10,16604.17,7693.27,15
TXN00479,1/17/2024,Latin America,Office Supplies,Enterprise,3,689.55,456.1,5
TXN00198,1/17/2024,Latin America,Technology,Government,5,11814.52,6810.1,0
TXN00364,1/18/2024,Latin America,Clothing,Government,15,1955.17,878.99,5
TXN00378,1/19/2024,Latin America,Office Supplies,Consumer,5,650.49,372.8,5
TXN00022,1/22/2024,North America,Clothing,Enterprise,100,8752.14,6065.1,0
TXN00183,1/22/2024,Middle East,Technology,Enterprise,25,109210.52,49760.43,0
TXN00008,1/23/2024,Europe,Furniture,Government,2,5442.45,3442.57,15
TXN00387,1/25/2024,Middle East,Technology,Enterprise,1,4220.09,2734.68,0
TXN00033,1/27/2024,Asia Pacific,Electronics,Government,5,2252.44,1149.45,0
TXN00368,1/30/2024,Latin America,Clothing,Enterprise,10,1250.22,513.01,20
TXN00055,2/1/2024,Latin America,Furniture,Enterprise,1,2120.34,893.42,0
TXN00063,2/2/2024,Europe,Clothing,Consumer,20,1377.29,599.29,0
TXN00398,2/2/2024,Europe,Office Supplies,Enterprise,10,1091.19,733.08,0
TXN00267,2/3/2024,Asia Pacific,Office Supplies,Government,3,370.88,209.5,10
TXN00297,2/4/2024,Europe,Electronics,Enterprise,2,1209.89,793.6,0
TXN00026,2/7/2024,Europe,Office Supplies,Consumer,2,265.17,119.94,5
TXN00422,2/8/2024,Latin America,Furniture,Consumer,2,444.04,182.41,0
TXN00420,2/8/2024,Middle East,Office Supplies,Consumer,50,5982.66,3034.02,10
TXN00243,2/10/2024,Europe,Electronics,Enterprise,15,27374.32,16770.15,0
TXN00296,2/12/2024,Latin America,Furniture,SMB,1,792.1,382.33,10
TXN00459,2/13/2024,Latin America,Technology,Enterprise,5,11127.3,7776.63,0
TXN00112,2/15/2024,North America,Technology,SMB,10,19605,12280.39,0
TXN00384,2/16/2024,Latin America,Clothing,Government,2,267.15,116.47,15
TXN00490,2/18/2024,Asia Pacific,Furniture,SMB,15,15128.93,8919.97,0
TXN00003,2/18/2024,Europe,Technology,Enterprise,5,14635.98,5885.42,0
TXN00474,3/1/2024,North America,Technology,Consumer,3,4257.58,1719.96,0
TXN00411,3/3/2024,Middle East,Office Supplies,Government,15,4124.96,2631.49,15
TXN00486,3/4/2024,Asia Pacific,Office Supplies,Enterprise,3,598.85,242.33,0
TXN00182,3/5/2024,North America,Electronics,Enterprise,15,27049.46,17675.06,10
TXN00346,3/6/2024,North America,Technology,SMB,2,5031.09,3220.43,5
TXN00157,3/7/2024,North America,Clothing,SMB,1,46.42,24.02,0
TXN00428,3/8/2024,Middle East,Technology,Consumer,25,33948.12,19147.08,5
TXN00358,3/9/2024,Middle East,Office Supplies,Consumer,50,4149.96,1708.53,0
TXN00435,3/11/2024,North America,Office Supplies,Enterprise,5,1187.54,727.42,0
TXN00329,3/12/2024,Middle East,Technology,Government,2,1188.69,677.73,0
TXN00352,3/13/2024,Asia Pacific,Furniture,Government,10,9232.37,4541.35,10
TXN00396,3/13/2024,North America,Technology,Enterprise,2,3879.07,1619.23,0
TXN00335,3/13/2024,Latin America,Electronics,Consumer,20,15527.88,9039.2,5
TXN00024,3/14/2024,Asia Pacific,Office Supplies,Enterprise,10,1198.18,706.56,5
TXN00452,3/14/2024,Asia Pacific,Clothing,Consumer,50,3108.07,1329.07,5
TXN00232,3/14/2024,Europe,Clothing,Consumer,2,267.31,144.85,5
TXN00355,3/15/2024,Latin America,Clothing,Consumer,1,136.26,68.64,0
TXN00386,3/16/2024,North America,Furniture,Enterprise,1,991.37,606.81,0
TXN00234,3/16/2024,North America,Furniture,Government,1,2010.42,1048.02,0
TXN00097,3/18/2024,Asia Pacific,Clothing,SMB,5,327.92,141.18,0
TXN00434,3/18/2024,Europe,Electronics,Enterprise,50,19136.17,9177.67,5
TXN00044,3/19/2024,Middle East,Electronics,Government,15,10091.91,5922.61,0
TXN00383,3/21/2024,Europe,Furniture,Government,5,1979.5,1197.17,0
TXN00413,3/21/2024,North America,Technology,Consumer,3,8347.04,3779.78,0
TXN00359,3/23/2024,Asia Pacific,Furniture,Consumer,1,1549,832.68,0
TXN00415,3/25/2024,Europe,Clothing,SMB,3,413.25,195.96,5
TXN00381,3/26/2024,Asia Pacific,Clothing,Consumer,3,159.76,94.6,20
TXN00131,3/27/2024,Latin America,Clothing,SMB,2,147.94,98.96,0
TXN00391,3/27/2024,North America,Electronics,Enterprise,3,4610.89,3226.88,0
TXN00442,3/28/2024,Asia Pacific,Clothing,Government,15,1975.86,1025.4,0
TXN00410,3/28/2024,Europe,Furniture,SMB,3,832.37,374.34,0
TXN00312,3/29/2024,Latin America,Furniture,Consumer,5,4108.68,2749.35,0
TXN00061,3/30/2024,Latin America,Technology,Consumer,3,1574.6,673.16,5
TXN00393,3/30/2024,North America,Clothing,SMB,5,461.85,284.45,0
TXN00443,4/2/2024,North America,Technology,Consumer,2,2166.25,1432.81,5
TXN00227,4/3/2024,Latin America,Furniture,Consumer,5,7308.68,3157.81,5
TXN00409,4/3/2024,North America,Furniture,SMB,5,3585.02,1972.41,5
TXN00177,4/3/2024,Europe,Furniture,SMB,2,4787.23,2526.96,0
TXN00204,4/4/2024,Latin America,Clothing,Consumer,3,163.52,69.01,0
TXN00014,4/6/2024,Asia Pacific,Electronics,Enterprise,5,9016.93,4942.53,5
TXN00385,4/10/2024,Latin America,Furniture,SMB,15,26733.33,12871.14,0
TXN00276,4/10/2024,Europe,Clothing,Enterprise,10,1908.35,885.58,5
TXN00062,4/13/2024,Latin America,Clothing,Consumer,15,587.75,399.25,20
TXN00004,4/19/2024,Asia Pacific,Furniture,Government,2,2317.75,1244.22,10
TXN00499,4/24/2024,Latin America,Furniture,Enterprise,10,6429.37,2990.75,0
TXN00492,4/24/2024,Europe,Technology,Enterprise,1,1289.33,791.61,0
TXN00085,4/25/2024,Latin America,Furniture,Consumer,10,16234.73,8731.1,10
TXN00289,4/25/2024,Europe,Technology,Enterprise,5,17147.18,11994.53,15
TXN00035,4/25/2024,Middle East,Technology,Enterprise,3,8299.85,5233.6,0
TXN00244,4/25/2024,Europe,Clothing,SMB,3,245.84,115.97,5
TXN00174,4/28/2024,Europe,Technology,Consumer,2,4763.32,2917.87,0
TXN00311,4/29/2024,Middle East,Electronics,Consumer,2,2732.09,1519.2,0
TXN00347,4/29/2024,Asia Pacific,Technology,Government,15,10326.13,4378.84,0
TXN00360,4/29/2024,Europe,Clothing,Enterprise,50,4818.44,3211.59,5
TXN00313,4/30/2024,North America,Technology,Enterprise,1,1922.96,1191.83,10
TXN00272,5/2/2024,Asia Pacific,Technology,SMB,5,17077.83,8064.28,0
TXN00143,5/5/2024,North America,Office Supplies,Enterprise,2,385.3,208.94,0
TXN00280,5/5/2024,North America,Furniture,Enterprise,10,19343.6,8828.56,0
TXN00037,5/11/2024,Middle East,Office Supplies,Government,20,1846.47,951.91,15
TXN00053,5/11/2024,Latin America,Office Supplies,Government,5,586.27,347.65,0
TXN00220,5/11/2024,Asia Pacific,Technology,SMB,1,2315.17,1390.18,5
TXN00145,5/12/2024,Middle East,Technology,Government,50,21992.97,9477.39,0
TXN00485,5/13/2024,Latin America,Office Supplies,SMB,15,1723.43,784.22,15
TXN00066,5/14/2024,North America,Electronics,Enterprise,15,15505.59,6590.65,10
TXN00185,5/15/2024,Middle East,Furniture,Government,3,8278.41,3682.85,0
TXN00123,5/15/2024,North America,Electronics,Enterprise,5,7664.58,3095.94,5
TXN00392,5/16/2024,Latin America,Electronics,Consumer,3,1414.64,722.33,0
